pack_name,type,text_template,requires_target
"Entspannt",truth,"{playerName}, was ist das letzte Buch, das du gelesen hast und wie fandest du es?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Snack, wenn du einen Film schaust?",false
"Entspannt",truth,"{playerName}, hast du ein verstecktes Talent? Wenn ja, welches?",false
"Entspannt",truth,"{playerName}, was ist dein Traum-Reiseziel?",false
"Entspannt",truth,"{playerName}, was war das netteste, das jemand diese Woche für dich getan hat?",false
"Entspannt",truth,"{playerName}, welche Art von Musik hörst du am liebsten zum Entspannen?",false
"Entspannt",truth,"{playerName}, was ist deine Lieblings-Jahreszeit und warum?",false
"Entspannt",truth,"{playerName}, was ist das erste, was du morgens nach dem Aufwachen machst?",false
"Entspannt",truth,"{playerName}, sammelst du irgendetwas?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Brettspiel oder Kartenspiel?",false
"Entspannt",truth,"{playerName}, was ist ein kleines Ding, das dich glücklich macht?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Zitat?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Tier und warum?",false
"Entspannt",truth,"{playerName}, was war dein Traumberuf als Kind?",false
"Entspannt",truth,"{playerName}, was ist eine Fähigkeit, die du gerne lernen würdest?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Wochentag?",false
"Entspannt",truth,"{playerName}, was ist deine Lieblings-Kindheitserinnerung?",false
"Entspannt",truth,"{playerName}, kochst du gerne? Was ist dein Spezialgericht?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Geruch?",false
"Entspannt",truth,"{playerName}, was ist das spontanste, das du jemals gemacht hast?",false
"Entspannt",truth,"{playerName}, was ist deine Morgenroutine?",false
"Entspannt",truth,"{playerName}, bist du ein Morgenmensch oder eine Nachteule?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Dessert?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblingsort in deiner Stadt/deinem Dorf?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Feiertag?",false
"Entspannt",truth,"{playerName}, was war das letzte Konzert, das du besucht hast?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Sport (zum Zuschauen oder Mitmachen)?",false
"Entspannt",truth,"{playerName}, was ist das lustigste Video, das du kürzlich gesehen hast?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Café oder Restaurant?",false
"Entspannt",truth,"{playerName}, was ist das schönste Kompliment, das du je bekommen hast?",false
"Entspannt",truth,"{playerName}, was ist eine Sache auf deiner Bucket List?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Wetter?",false
"Entspannt",truth,"{playerName}, was war das letzte Geschenk, das du jemandem gemacht hast?",false
"Entspannt",truth,"{playerName}, was ist dein Lieblings-Museum oder deine Lieblings-Kunstgalerie?",false
"Entspannt",truth,"{playerName}, was ist eine Sache, die du an dir magst?",false
"Entspannt",truth,"{playerName}, was ist deine Meinung zu {targetPlayerName}s Musikgeschmack?",true
"Entspannt",truth,"{playerName}, was ist das erste Wort, das dir einfällt, wenn du an {targetPlayerName} denkst?",true
"Entspannt",truth,"{playerName}, welche lustige Geschichte über {targetPlayerName} kennst du?",true
"Entspannt",truth,"{playerName}, was ist deiner Meinung nach die beste Eigenschaft von {targetPlayerName}?",true
"Entspannt",truth,"{playerName}, was würdest du {targetPlayerName} zum Geburtstag schenken?",true
"Entspannt",truth,"{playerName}, welchen Film würdest du {targetPlayerName} empfehlen?",true
"Entspannt",truth,"{playerName}, was ist eine Sache, die du schon immer mal {targetPlayerName} fragen wolltest?",true
"Entspannt",truth,"{playerName}, was schätzt du an deiner Freundschaft mit {targetPlayerName} am meisten?",true
"Entspannt",truth,"{playerName}, was ist eine gemeinsame Erinnerung, die du mit {targetPlayerName} teilst?",true
"Entspannt",truth,"{playerName}, welche Superkraft würde deiner Meinung nach am besten zu {targetPlayerName} passen?",true
"Entspannt",truth,"{playerName}, was ist {targetPlayerName}s heimliches Talent, von dem du weißt?",true
"Entspannt",truth,"{playerName}, wenn du einen Tag mit {targetPlayerName} tauschen könntest, was würdest du tun?",true
"Entspannt",truth,"{playerName}, was ist ein Insider-Witz zwischen dir und {targetPlayerName}?",true
"Entspannt",truth,"{playerName}, was ist das Mutigste, das {targetPlayerName} deiner Meinung nach getan hat?",true
"Entspannt",truth,"{playerName}, was ist {targetPlayerName}s Lieblingsessen, soweit du weißt?",true
"Entspannt",dare,"{playerName}, erzähle einen Witz. Wenn niemand lacht, musst du eine Runde lang wie ein Huhn gackern.",false
"Entspannt",dare,"{playerName}, sprich für die nächsten 5 Minuten mit einem französischen Akzent.",false
"Entspannt",dare,"{playerName}, versuche, deine Schnürsenkel nur mit einer Hand zu binden.",false
"Entspannt",dare,"{playerName}, mache eine lustige Tierimitation.",false
"Entspannt",dare,"{playerName}, balanciere einen Löffel auf deiner Nase für 10 Sekunden.",false
"Entspannt",dare,"{playerName}, singe das Alphabet rückwärts.",false
"Entspannt",dare,"{playerName}, gehe einmal um den Raum herum und tue so, als wärst du ein Roboter.",false
"Entspannt",dare,"{playerName}, mache 5 Hampelmänner.",false
"Entspannt",dare,"{playerName}, versuche, deinen Ellbogen mit deiner Zunge zu berühren.",false
"Entspannt",dare,"{playerName}, erzähle von deinem Tag, aber singe es.",false
"Entspannt",dare,"{playerName}, trage deine Socken für die nächsten 10 Minuten auf deinen Händen.",false
"Entspannt",dare,"{playerName}, mache eine Pantomime deiner Lieblings-Sportart.",false
"Entspannt",dare,"{playerName}, sage 'Hallo' in fünf verschiedenen Sprachen.",false
"Entspannt",dare,"{playerName}, versuche, ein Glas Wasser auf deinem Kopf zu balancieren, während du 10 Schritte gehst (mit Hilfe!).",false
"Entspannt",dare,"{playerName}, tue so, als wärst du ein Nachrichtensprecher und berichte über das aktuelle Spiel.",false
"Entspannt",dare,"{playerName}, baue den höchsten Turm aus Kissen, den du kannst.",false
"Entspannt",dare,"{playerName}, versuche, einen Zungenbrecher dreimal schnell hintereinander fehlerfrei aufzusagen.",false
"Entspannt",dare,"{playerName}, mache eine lustige Grimasse und halte sie für 10 Sekunden.",false
"Entspannt",dare,"{playerName}, nenne 5 Dinge, die blau sind, in 10 Sekunden.",false
"Entspannt",dare,"{playerName}, tue so, als ob du auf einem unsichtbaren Stuhl sitzt, bis du wieder dran bist.",false
"Entspannt",dare,"{playerName}, ahme deinen Lieblings-Superhelden nach.",false
"Entspannt",dare,"{playerName}, versuche, mit geschlossenen Augen eine gerade Linie auf ein Blatt Papier zu malen.",false
"Entspannt",dare,"{playerName}, erzähle der Gruppe einen kurzen, erfundenen Fakt über dich selbst.",false
"Entspannt",dare,"{playerName}, tanze für 30 Sekunden zu einem Lied, das nur du in deinem Kopf hörst.",false
"Entspannt",dare,"{playerName}, flüstere der Person rechts von dir ein Geheimnis zu (es darf auch erfunden sein).",false
"Entspannt",dare,"{playerName}, benutze deine Füße, um einen Stift aufzuheben.",false
"Entspannt",dare,"{playerName}, mache eine Yoga-Pose für 30 Sekunden.",false
"Entspannt",dare,"{playerName}, tue so, als wärst du ein Model auf dem Laufsteg.",false
"Entspannt",dare,"{playerName}, mache ein High-Five mit jedem im Raum.",false
"Entspannt",dare,"{playerName}, erzähle einen kurzen Witz mit ernstem Gesicht.",false
"Entspannt",dare,"{playerName}, gib {targetPlayerName} ein High-Five mit dem Fuß.",true
"Entspannt",dare,"{playerName}, mache {targetPlayerName} ein Kompliment über seine/ihre Frisur.",true
"Entspannt",dare,"{playerName}, zeichne ein schnelles Porträt von {targetPlayerName} in 30 Sekunden.",true
"Entspannt",dare,"{playerName}, singe 'Happy Birthday' für {targetPlayerName}, auch wenn er/sie keinen Geburtstag hat.",true
"Entspannt",dare,"{playerName}, tausche für eine Runde die Plätze mit {targetPlayerName}.",true
"Entspannt",dare,"{playerName}, erzähle {targetPlayerName} deinen Lieblingswitz.",true
"Entspannt",dare,"{playerName}, ahme {targetPlayerName}s typische Geste oder Redewendung nach (liebevoll!).",true
"Entspannt",dare,"{playerName}, frage {targetPlayerName} nach einem Autogramm.",true
"Entspannt",dare,"{playerName}, massiere {targetPlayerName}s Schultern für 30 Sekunden.",true
"Entspannt",dare,"{playerName}, finde drei Gemeinsamkeiten zwischen dir und {targetPlayerName}.",true
"Entspannt",dare,"{playerName}, erfinde einen Spitznamen für {targetPlayerName} und benutze ihn für den Rest des Spiels.",true
"Entspannt",dare,"{playerName}, sprich eine Runde lang nur {targetPlayerName} direkt an, ignoriere alle anderen.",true
"Entspannt",dare,"{playerName}, schenke {targetPlayerName} eine imaginäre Blume mit einer passenden Beschreibung.",true
"Entspannt",dare,"{playerName}, halte eine kurze Rede darüber, warum {targetPlayerName} ein toller Mensch ist.",true
"Entspannt",dare,"{playerName}, mache mit {targetPlayerName} einen geheimen Handschlag aus.",true
"Bisschen Spicy",truth,"{playerName}, was ist das Peinlichste, das dir während eines Dates passiert ist?",false
"Bisschen Spicy",truth,"{playerName}, hast du jemals jemanden gestalkt (online oder offline)?",false
"Bisschen Spicy",truth,"{playerName}, was ist dein heimlicher Celebrity Crush?",false
"Bisschen Spicy",truth,"{playerName}, würdest du lieber sehr reich oder sehr berühmt sein?",false
"Bisschen Spicy",truth,"{playerName}, was ist das Verrückteste, das du aus Liebe getan hast?",false
"Bisschen Spicy",truth,"{playerName}, hast du schon einmal einen Liebesbrief geschrieben oder bekommen?",false
"Bisschen Spicy",truth,"{playerName}, was war dein erster Gedanke, als du die Person rechts von dir heute gesehen hast?",false
"Bisschen Spicy",truth,"{playerName}, wen in dieser Runde findest du am attraktivsten?",false
"Bisschen Spicy",truth,"{playerName}, hast du schon einmal von jemandem in dieser Runde geträumt?",false
"Bisschen Spicy",truth,"{playerName}, was ist dein 'Typ' bei einer romantischen Beziehung?",false
"Bisschen Spicy",truth,"{playerName}, was ist die größte Lüge, die du jemals erzählt hast, um jemanden zu beeindrucken?",false
"Bisschen Spicy",truth,"{playerName}, hast du schon mal eine Dating-App benutzt? Welche?",false
