pack_name,type,text_template,requires_target
"Entspannt",truth,"{playerName}, was war dein peinlichster Moment?",false
"Entspannt",truth,"{playerName}, was ist dein größter geheimer Wunsch?",false
"Entspannt",truth,"{playerName}, was machst du wenn du alleine zuhause bist?",false
"Entspannt",truth,"{playerName}, was denkst du über {targetPlayerName}?",true
"Entspannt",truth,"{playerName}, was war dein schönstes Kindheitserlebnis?",false
"Entspannt",dare,"{playerName}, mache 10 Liegestütze.",false
"Entspannt",dare,"{playerName}, singe dein Lieblingslied vor.",false
"Entspannt",dare,"{playerName}, gib {targetPlayerName} ein Kompliment.",true
"Entspannt",dare,"{playerName}, tanze für 30 Sekunden.",false
"Entspannt",dare,"{playerName}, sprich für 2 Runden mit einem lustigen Akzent.",false
"Bisschen Spicy",truth,"{playerName}, hast du schon mal jemanden hier geküsst?",false
"Bisschen Spicy",truth,"{playerName}, wen hier würdest du daten?",false
"Bisschen Spicy",truth,"{playerName}, was findest du an {targetPlayerName} attraktiv?",true
"Bisschen Spicy",dare,"{playerName}, gib {targetPlayerName} eine Umarmung.",true
"Bisschen Spicy",dare,"{playerName}, flirte 30 Sekunden mit {targetPlayerName}.",true
"Spicy (18+)",truth,"{playerName}, wann hattest du das letzte Mal Sex?",false
"Spicy (18+)",truth,"{playerName}, mit wem hier würdest du schlafen?",false
"Spicy (18+)",truth,"{playerName}, findest du {targetPlayerName} sexy?",true
"Spicy (18+)",dare,"{playerName}, küsse {targetPlayerName} für 10 Sekunden.",true
"Partyyyy",truth,"{playerName}, welches ist dein liebstes Emoji und warum?",false
"Partyyyy",truth,"{playerName}, welches ist dein absurdestes Talent?",false
"Partyyyy",truth,"{playerName}, was war dein peinlichster Moment auf einer Party?",false
"Partyyyy",truth,"{playerName}, welches Lied würdest du immer wieder hören, auch wenn es alle hassen?",false
"Partyyyy",truth,"{playerName}, welches absurde Gerücht hast du schon einmal über dich gehört?",false
"Partyyyy",truth,"{playerName}, wen würdest du auf eine einsame Insel mitnehmen und warum?",false
"Partyyyy",truth,"{playerName}, was ist das Verrückteste, was du jemals gegessen hast?",false
"Partyyyy",truth,"{playerName}, was ist dein geheimes Supertalent?",false
"Partyyyy",truth,"{playerName}, welches ist dein Lieblingswitz (auch wenn er schlecht ist)?",false
"Partyyyy",truth,"{playerName}, was ist dein schlimmster Schmink-Fail?",false
"Partyyyy",truth,"{playerName}, was war dein skurrilster Traum?",false
"Partyyyy",truth,"{playerName}, an welches Outfit aus deiner Vergangenheit denkst du mit Schaudern zurück?",false
"Partyyyy",truth,"{playerName}, welches ungewöhnliche Hobby hast du?",false
"Partyyyy",truth,"{playerName}, welches Tier würdest du sein und warum?",false
"Partyyyy",truth,"{playerName}, was ist dein guilty pleasure?",false
"Partyyyy",truth,"{playerName}, welche peinliche Angewohnheit hast du?",false
"Partyyyy",truth,"{playerName}, welches ist dein heimlicher Wunsch?",false
"Partyyyy",truth,"{playerName}, was war dein lustiges Missverständnis?",false
"Partyyyy",truth,"{playerName}, welches Lied singst du gerne im Badezimmer?",false
"Partyyyy",truth,"{playerName}, was ist das Verrückteste, das du jemals online gekauft hast?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblings-Meme?",false
"Partyyyy",truth,"{playerName}, was ist dein bisher größter Erfolg?",false
"Partyyyy",truth,"{playerName}, was würdest du tun, wenn du unsichtbar wärst?",false
"Partyyyy",truth,"{playerName}, welches ist dein komischstes Familienritual?",false
"Partyyyy",truth,"{playerName}, was ist dein persönlicher Rekord im Essen?",false
"Partyyyy",truth,"{playerName}, welches ungewöhnliche Talent hast du?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingsgericht?",false
"Partyyyy",truth,"{playerName}, welche Superkraft würdest du gerne haben?",false
"Partyyyy",truth,"{playerName}, was ist dein größter Traum?",false
"Partyyyy",truth,"{playerName}, was war dein lustigster Fauxpas?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingsfilm?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingsbuch?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingsspiel?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingstier?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingsessen?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingsgetränk?",false
"Partyyyy",truth,"{playerName}, was ist deine Lieblingsfarbe?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingsort?",false
"Partyyyy",truth,"{playerName}, was ist deine Lieblingsjahreszeit?",false
"Partyyyy",truth,"{playerName}, was machst du am liebsten in deiner Freizeit?",false
"Partyyyy",truth,"{playerName}, was ist dein größter Wunsch?",false
"Partyyyy",truth,"{playerName}, was ist dein größtes Geheimnis?",false
"Partyyyy",truth,"{playerName}, was ist dein größter Fehler?",false
"Partyyyy",truth,"{playerName}, was ist dein größter Erfolg?",false
"Partyyyy",truth,"{playerName}, was würdest du ändern, wenn du könntest?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingszitat?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingsspruch?",false
"Partyyyy",truth,"{playerName}, was ist dein Lieblingswitz?",false
"Partyyyy",truth,"{playerName}, was ist deine Lieblingsgeschichte?",false
"Partyyyy",truth,"{playerName}, was ist deine Lieblingsaussage?",false
"Partyyyy",truth,"{playerName}, was denkst du über {targetPlayerName}?",true
"Partyyyy",truth,"{playerName}, was ist dein erster Eindruck von {targetPlayerName}?",true
"Partyyyy",truth,"{playerName}, was würdest du mit {targetPlayerName} unternehmen?",true
"Partyyyy",truth,"{playerName}, was findest du an {targetPlayerName} besonders?",true
"Partyyyy",truth,"{playerName}, was gefällt dir an {targetPlayerName} nicht?",true
"Partyyyy",truth,"{playerName}, was würdest du {targetPlayerName} raten?",true
"Partyyyy",truth,"{playerName}, was ist dein Lieblingsgedanke über {targetPlayerName}?",true
"Partyyyy",truth,"{playerName}, was ist dein erstes Gefühl bei {targetPlayerName}?",true
"Partyyyy",truth,"{playerName}, was würdest du mit {targetPlayerName} auf einer einsamen Insel tun?",true
"Partyyyy",truth,"{playerName}, was ist das Verrückteste, was du mit {targetPlayerName} erlebt hast?",true
"Partyyyy",truth,"{playerName}, was ist dein lustigstes Erlebnis mit {targetPlayerName}?",true
"Partyyyy",truth,"{playerName}, was denkst du, ist das Geheimnis von {targetPlayerName}?",true
"Partyyyy",truth,"{playerName}, welches Geheimnis von {targetPlayerName} kennst du?",true
"Partyyyy",truth,"{playerName}, was würdest du {targetPlayerName} schenken?",true
"Partyyyy",truth,"{playerName}, was würdest du von {targetPlayerName} lernen wollen?",true
"Partyyyy",truth,"{playerName}, was schätzt du an {targetPlayerName}?",true
"Partyyyy",truth,"{playerName}, was bewunderst du an {targetPlayerName}?",true
"Partyyyy",truth,"{playerName}, was findest du besonders einzigartig an {targetPlayerName}?",true
"Partyyyy",dare,"{playerName}, singe ein Lied!",false
"Partyyyy",dare,"{playerName}, zeige deinen lustigsten Tanz!",false
"Partyyyy",dare,"{playerName}, erzähle einen Witz!",false
"Partyyyy",dare,"{playerName}, mache 10 Liegestütze!",false
"Partyyyy",dare,"{playerName}, mache einen Handstand!",false
"Partyyyy",dare,"{playerName}, imitiere jemanden im Raum!",false
"Partyyyy",dare,"{playerName}, zeige deinen besten Gesichtsausdruck!",false
"Partyyyy",dare,"{playerName}, mache einen Purzelbaum!",false
"Partyyyy",dare,"{playerName}, rufe etwas Verrücktes!",false
"Partyyyy",dare,"{playerName}, mache einen Grimassenschnitt!",false
"Partyyyy",dare,"{playerName}, stelle dich auf einen Stuhl und singe ein Lied!",false
"Partyyyy",dare,"{playerName}, tanze den Macarena!",false
"Partyyyy",dare,"{playerName}, gib {targetPlayerName} ein Kompliment.",true
"Partyyyy",dare,"{playerName}, stelle {targetPlayerName} eine lustige Frage.",true
"Partyyyy",dare,"{playerName}, male {targetPlayerName} ein Bild.",true
"Partyyyy",dare,"{playerName}, singe {targetPlayerName} ein Lied.",true
"Partyyyy",dare,"{playerName}, erzähle {targetPlayerName} einen Witz.",true
"Partyyyy",dare,"{playerName}, mache {targetPlayerName} eine Massage (1 Minute).",true
"Partyyyy",dare,"{playerName},  führe einen Toast auf {targetPlayerName} aus.",true
"Partyyyy",dare,"{playerName}, spiele ein kurzes Spiel mit {targetPlayerName}.",true
"Partyyyy",dare,"{playerName}, zeige {targetPlayerName} ein Foto von dir aus deiner Kindheit.",true
"Partyyyy",dare,"{playerName}, schreibe {targetPlayerName} eine Nachricht auf einen Zettel.",true
"Partyyyy",dare,"{playerName}, mache einen Toast auf {targetPlayerName}.",true
"Partyyyy",dare,"{playerName}, tausche mit {targetPlayerName} ein Kleidungsstück.",true
"Partyyyy",dare,"{playerName}, überzeuge {targetPlayerName}, dass du ein Außerirdischer bist.",true
"Partyyyy",dare,"{playerName}, erfinde eine Geschichte über {targetPlayerName}.",true
"Partyyyy",dare,"{playerName}, zeichne {targetPlayerName} karikaturistisch.",true
"Partyyyy",dare,"{playerName}, flüstere {targetPlayerName} ein Geheimnis zu.",true
"Partyyyy",dare,"{playerName}, mache eine kurze Pantomime über {targetPlayerName}.",true
"Partyyyy",dare,"{playerName}, schreibe ein kurzes Lied über {targetPlayerName}.",true
